search,ICD9,ICD9 Description
T8389XA,996.76,"Other complications due to genitourinary device, implant, and graft"
Z7982,V58.66,Long-term (current) use of aspirin
K5900,564,"Constipation, unspecified"
I132,404.03,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease"
I455,426.6,Other heart block
R6889,780.99,Other general symptoms
I248,411.89,"Other acute and subacute forms of ischemic heart disease, other"
I509,428,"Congestive heart failure, unspecified"
G2581,333.94,Restless legs syndrome (RLS)
G35,340,Multiple sclerosis
I440,426.11,First degree atrioventricular block
I77819,447.7,"Aortic ectasia, unspecified site"
I318,423.8,Other specified diseases of pericardium
Z9889,V45.89,Other postprocedural status
R9431,794.31,Nonspecific abnormal electrocardiogram [ECG] [EKG]
H5319,368.15,Other visual distortions and entoptic phenomena
M3500,710.2,Sicca syndrome
G44001,339,"Cluster headache syndrome, unspecified"
I8011,451.11,Phlebitis and thrombophlebitis of femoral vein (deep) (superficial)
R938,793.2,Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs
F331,296.32,"Major depressive affective disorder, recurrent episode, moderate"
I739,443.9,"Peripheral vascular disease, unspecified"
Z8249,V17.3,Family history of ischemic heart disease
Z880,V14.0,Personal history of allergy to penicillin
N400,600,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
Z950,V45.01,Cardiac pacemaker in situ
G20,332,Paralysis agitans
E860,276.51,Dehydration
G7289,359.89,Other myopathies
I213,410.91,"Acute myocardial infarction of unspecified site, initial episode of care"
R040,784.7,Epistaxis
Z9861,V45.82,Percutaneous transluminal coronary angioplasty status
I5043,428.43,Acute on chronic combined systolic and diastolic heart failure
I618,431,Intracerebral hemorrhage
K2970,535.5,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage"
F339,296.3,"Major depressive affective disorder, recurrent episode, unspecified"
Z794,V58.67,Long-term (current) use of insulin
I209,413.9,Other and unspecified angina pectoris
N189,585.9,"Chronic kidney disease, unspecified"
K7689,571.8,Other chronic nonalcoholic liver disease
E781,272.1,Pure hyperglyceridemia
R1030,789.09,"Abdominal pain, other specified site"
R918,793.19,Other nonspecific abnormal finding of lung field
R579,785.5,"Shock, unspecified"
I491,427.61,Supraventricular premature beats
I470,427.1,Paroxysmal ventricular tachycardia
I493,427.69,Other premature beats
I2720,416.8,Other chronic pulmonary heart diseases
I25118,414.01,Coronary atherosclerosis of native coronary artery
I4519,426.4,Right bundle branch block
J9600,518.51,Acute respiratory failure following trauma and surgery
J309,477.9,"Allergic rhinitis, cause unspecified"
I951,458,Orthostatic hypotension
G894,338.4,Chronic pain syndrome
Z885,V14.5,Personal history of allergy to narcotic agent
M329,710,Systemic lupus erythematosus
Z6842,V85.42,"Body Mass Index 45.0-49.9, adult"
E291,257.2,Other testicular hypofunction
J984,518.89,"Other diseases of lung, not elsewhere classified"
N393,625.6,"Stress incontinence, female"
H02402,374.3,"Ptosis of eyelid, unspecified"
G9349,348.39,Other encephalopathy
E11621,250.8,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
R072,786.51,Precordial pain
I152,405.99,Other unspecified secondary hypertension
Z8673,V12.54,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
E8339,275.3,Disorders of phosphorus metabolism
Z20828,V01.79,Contact with or exposure to other viral diseases
33182,331.82,Dementia with lewy bodies
2759,275.9,Unspecified disorder of mineral metabolism
7866,786.6,"Swelling, mass, or lump in chest"
99676,996.76,"Other complications due to genitourinary device, implant, and graft"
78099,780.99,Other general symptoms
2989,298.9,Unspecified psychosis
V4582,V45.82,Percutaneous transluminal coronary angioplasty status
53085,530.85,Barrett's esophagus
74710,747.1,Coarctation of aorta (preductal) (postductal)
99591,995.91,Sepsis
V4502,V45.02,Automatic implantable cardiac defibrillator in situ
79902,799.02,Hypoxemia
V1508,V15.08,Allergy to radiographic dye
42830,428.3,"Diastolic heart failure, unspecified"
3572,357.2,Polyneuropathy in diabetes
5307,530.7,Gastroesophageal laceration-hemorrhage syndrome
7821,782.1,Rash and other nonspecific skin eruption
7867,786.7,Abnormal chest sounds
44289,442.89,Aneurysm of other specified artery
7840,784,Headache
5759,575.9,Unspecified disorder of gallbladder
V7189,V71.89,Observation and evaluation for other specified suspected conditions
V153,V15.3,"Personal history of irradiation, presenting hazards to health"
4238,423.8,Other specified diseases of pericardium
42682,426.82,Long QT syndrome
5738,573.8,Other specified disorders of liver
34882,348.82,Brain death
V145,V14.5,Personal history of allergy to narcotic agent
29625,296.25,"Major depressive affective disorder, single episode, in partial or unspecified remission"
45341,453.41,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity
72400,724,"Spinal stenosis, unspecified region"
7454,745.4,Ventricular septal defect
40290,402.9,Unspecified hypertensive heart disease without heart failure
V5867,V58.67,Long-term (current) use of insulin
4461,446.1,Acute febrile mucocutaneous lymph node syndrome [MCLS]
V142,V14.2,Personal history of allergy to sulfonamides
2858,285.8,Other specified anemias
4474,447.4,Celiac artery compression syndrome
E9288,E928.8,Other accidents
5533,553.3,Diaphragmatic hernia without mention of obstruction or gangrene
45981,459.81,"Venous (peripheral) insufficiency, unspecified"
V171,V17.1,Family history of stroke (cerebrovascular)
7820,782,Disturbance of skin sensation
43330,433.3,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction
7824,782.4,"Jaundice, unspecified, not of newborn"
99604,996.04,Mechanical complication of automatic implantable cardiac defibrillator
99702,997.02,Iatrogenic cerebrovascular infarction or hemorrhage
57420,574.2,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction"
V4611,V46.11,"Dependence on respirator, status"
36511,365.11,Primary open angle glaucoma
27652,276.52,Hypovolemia
2391,239.1,Neoplasm of unspecified nature of respiratory system
95901,959.01,"Head injury, unspecified"
44101,441.01,"Dissection of aorta, thoracic"
28529,285.29,Anemia of other chronic disease
71696,716.96,"Arthropathy, unspecified, lower leg"
5559,555.9,Regional enteritis of unspecified site
73300,733,"Osteoporosis, unspecified"
7243,724.3,Sciatica
37993,379.93,Redness or discharge of eye
78491,784.91,Postnasal drip
7964,796.4,Other abnormal clinical findings
44422,444.22,Arterial embolism and thrombosis of lower extremity
51882,518.82,"Other pulmonary insufficiency, not elsewhere classified"
72981,729.81,Swelling of limb
95909,959.09,Injury of face and neck
4580,458,Orthostatic hypotension
40491,404.91,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
27739,277.39,Other amyloidosis
E8351,275.41,Hypocalcemia
78841,788.41,Urinary frequency
J189,486,"Pneumonia, organism unspecified"
M1000,274,"Gouty arthropathy, unspecified"
R0602,786.05,Shortness of breath
M810,733,"Osteoporosis, unspecified"
I249,411.89,"Other acute and subacute forms of ischemic heart disease, other"
Z6832,V85.32,"Body Mass Index 32.0-32.9, adult"
I510,429.71,Acquired cardiac septal defect
Z9119,V15.81,"Personal history of noncompliance with medical treatment, presenting hazards to health"
Z952,V43.3,Heart valve replaced by other means
Z951,V45.81,Aortocoronary bypass status
Z5181,V58.83,Encounter for therapeutic drug monitoring
S00532A,920,"Contusion of face, scalp, and neck except eye(s)"
K754,571.42,Autoimmune hepatitis
N170,584.5,Acute kidney failure with lesion of tubular necrosis
I25119,414.01,Coronary atherosclerosis of native coronary artery
N183,585.3,"Chronic kidney disease, Stage III (moderate)"
I498,427.89,Other specified cardiac dysrhythmias
I77810,447.71,Thoracic aortic ectasia
K5790,562.1,Diverticulosis of colon (without mention of hemorrhage)
Z452,V58.81,Fitting and adjustment of vascular catheter
R000,785,"Tachycardia, unspecified"
Z8679,V12.50,Personal history of unspecified circulatory disease
I341,424,Mitral valve disorders
I97810,997.02,Iatrogenic cerebrovascular infarction or hemorrhage
R110,787.02,Nausea alone
M720,728.6,Contracture of palmar fascia
Z96641,V43.64,Hip joint replacement
R600,782.3,Edema
Z882,V14.2,Personal history of allergy to sulfonamides
R931,793.2,Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs
Z95810,V45.02,Automatic implantable cardiac defibrillator in situ
Z9841,V45.61,Cataract extraction status
G3184,331.83,"Mild cognitive impairment, so stated"
Z95818,V45.09,Other specified cardiac device in situ
M7989,729.81,Swelling of limb
R0989,785.9,Other symptoms involving cardiovascular system
S0003XA,920,"Contusion of face, scalp, and neck except eye(s)"
H8109,386,"Mnire's disease, unspecified"
K31811,537.83,Angiodysplasia of stomach and duodenum with hemorrhage
R58,459,"Hemorrhage, unspecified"
Z98890,V45.89,Other postprocedural status
T8111XA,998.01,"Postoperative shock, cardiogenic"
E1159,250.7,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
I872,459.81,"Venous (peripheral) insufficiency, unspecified"
Z955,V45.82,Percutaneous transluminal coronary angioplasty status
I97638,998.12,Hematoma complicating a procedure
G459,435.9,Unspecified transient cerebral ischemia
K922,578.9,"Hemorrhage of gastrointestinal tract, unspecified"
R4182,780.97,Altered mental status
N401,600.01,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
I638,434.91,"Cerebral artery occlusion, unspecified with cerebral infarction"
Z7902,V58.63,Long-term (current) use of antiplatelet/antithrombotic
L7682,998.89,Other specified complications of procedures not elsewhere classified
Z23,V05.9,Need for prophylactic vaccination and inoculation against unspecified single disease
Z01810,V72.81,Pre-operative cardiovascular examination
Z4689,V53.7,Fitting and adjustment of orthopedic devices
T40605A,995.29,"Unspecified adverse effect of other drug, medicinal and biological substance"
I352,424.1,Aortic valve disorders
K5730,562.1,Diverticulosis of colon (without mention of hemorrhage)
M797,729.1,"Myalgia and myositis, unspecified"
R7303,790.29,Other abnormal glucose
Z8774,V13.65,Personal history of (corrected) congenital malformations of heart and circulatory system
Z793,V58.69,Long-term (current) use of other medications
I160,401.9,Unspecified essential hypertension
E11622,250.8,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
I69354,438.22,"Late effects of cerebrovascular disease, hemiplegia affecting nondominant side"
R55,780.2,Syncope and collapse
E8881,277.7,Dysmetabolic syndrome X
5569,556.9,"Ulcerative colitis, unspecified"
5988,598.8,Other specified causes of urethral stricture
41040,410.4,"Acute myocardial infarction of other inferior wall, episode of care unspecified"
99672,996.72,"Other complications due to other cardiac device, implant, and graft"
2123,212.3,Benign neoplasm of bronchus and lung
4430,443,Raynaud's syndrome
7102,710.2,Sicca syndrome
7242,724.2,Lumbago
5363,536.3,Gastroparesis
V6700,V67.00,"Follow-up examination, following surgery, unspecified"
7822,782.2,"Localized superficial swelling, mass, or lump"
74749,747.49,Other anomalies of great veins
4010,401,Malignant essential hypertension
48289,482.89,Pneumonia due to other specified bacteria
5941,594.1,Other calculus in bladder
37950,379.5,"Nystagmus, unspecified"
5859,585.9,"Chronic kidney disease, unspecified"
78702,787.02,Nausea alone
7919,791.9,Other nonspecific findings on examination of urine
V146,V14.6,Personal history of allergy to analgesic agent
3734,373.4,Infective dermatitis of eyelid of types resulting in deformity
V4962,V49.62,Other finger(s) amputation status
V1081,V10.81,Personal history of malignant neoplasm of bone
44771,447.71,Thoracic aortic ectasia
60784,607.84,Impotence of organic origin
56210,562.1,Diverticulosis of colon (without mention of hemorrhage)
4289,428.9,"Heart failure, unspecified"
56409,564.09,Other constipation
5852,585.2,"Chronic kidney disease, Stage II (mild)"
8260,826,Closed fracture of one or more phalanges of foot
V8533,V85.33,"Body Mass Index 33.0-33.9, adult"
53020,530.2,Ulcer of esophagus without bleeding
7226,722.6,"Degeneration of intervertebral disc, site unspecified"
V1749,V17.49,Family history of other cardiovascular diseases
78701,787.01,Nausea with vomiting
99811,998.11,Hemorrhage complicating a procedure
56881,568.81,Hemoperitoneum (nontraumatic)
78821,788.21,Incomplete bladder emptying
V589,V58.9,Unspecified aftercare
41090,,"Acute myocardial infarction of unspecified site, episode of care unspecified"
7808,780.8,Generalized hyperhidrosis
7231,723.1,Cervicalgia
V812,V81.2,Screening for other and unspecified cardiovascular conditions
72992,729.92,Nontraumatic hematoma of soft tissue
7810,781,Abnormal involuntary movements
V1005,V10.05,Personal history of malignant neoplasm of large intestine
7234,723.4,Brachial neuritis or radiculitis NOS
V422,V42.2,Heart valve replaced by transplant
72283,722.83,"Postlaminectomy syndrome, lumbar region"
4552,455.2,Internal hemorrhoids with other complication
V8535,V85.35,"Body Mass Index 35.0-35.9, adult"
7823,782.3,Edema
99800,998,"Postoperative shock, unspecified"
V8534,V85.34,"Body Mass Index 34.0-34.9, adult"
V141,V14.1,Personal history of allergy to other antibiotic agent
99939,999.39,"Infection following other infusion, injection, transfusion, or vaccination"
V1082,V10.82,Personal history of malignant melanoma of skin
78791,787.91,Diarrhea
9953,995.3,"Allergy, unspecified, not elsewhere classified"
V1251,V12.51,Personal history of venous thrombosis and embolism
42971,429.71,Acquired cardiac septal defect
J209,466,Acute bronchitis
M170,715.16,"Osteoarthrosis, localized, primary, lower leg"
I501,428.1,Left heart failure
Z86711,V12.55,Personal history of pulmonary embolism
N200,592,Calculus of kidney
K810,575,Acute cholecystitis
Z8546,V10.46,Personal history of malignant neoplasm of prostate
Z6834,V85.34,"Body Mass Index 34.0-34.9, adult"
R05,786.2,Cough
Z6838,V85.38,"Body Mass Index 38.0-38.9, adult"
R42,780.4,Dizziness and giddiness
Z720,V69.8,Other problems related to lifestyle
Z6837,V85.37,"Body Mass Index 37.0-37.9, adult"
I9788,997.1,"Cardiac complications, not elsewhere classified"
R791,790.92,Abnormal coagulation profile
H26491,366.52,"Other after-cataract, not obscuring vision"
I69398,438.89,Other late effects of cerebrovascular disease
I444,426.2,Left bundle branch hemiblock
Z4682,V58.82,"Fitting and adjustment of nonvascular catheter, NEC"
R768,795.6,False positive serological test for syphilis
R51,784,Headache
I6523,433.1,Occlusion and stenosis of carotid artery without mention of cerebral infarction
Z6829,V85.25,"Body Mass Index 29.0-29.9, adult"
R339,788.2,"Retention of urine, unspecified"
Z79899,V58.69,Long-term (current) use of other medications
M25519,719.41,"Pain in joint, shoulder region"
T8119XA,998.09,"Postoperative shock, other"
I052,394.2,Mitral stenosis with insufficiency
G8918,338.18,Other acute postoperative pain
R531,780.79,Other malaise and fatigue
E784,272.4,Other and unspecified hyperlipidemia
N041,581.1,Nephrotic syndrome with lesion of membranous glomerulonephritis
K625,569.3,Hemorrhage of rectum and anus
G319,330.9,Unspecified cerebral degeneration in childhood
R4701,784.3,Aphasia
Z7951,V58.65,Long-term (current) use of steroids
Z8711,V12.71,Personal history of peptic ulcer disease
J9610,518.83,Chronic respiratory failure
T4145XA,995.22,Unspecified adverse effect of anesthesia
K641,455,Internal hemorrhoids without mention of complication
Z79818,V07.59,Use of other agents affecting estrogen receptors and estrogen levels
E1169,250.8,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
I4430,426.1,"Atrioventricular block, unspecified"
R944,794.4,Nonspecific abnormal results of function study of kidney
J8410,515,Postinflammatory pulmonary fibrosis
I724,442.3,Aneurysm of artery of lower extremity
I4820,427.31,Atrial fibrillation
G9050,337.2,"Reflex sympathetic dystrophy, unspecified"
N182,585.2,"Chronic kidney disease, Stage II (mild)"
H905,389.1,"Sensorineural hearing loss, unspecified"
V1003,V10.03,Personal history of malignant neoplasm of esophagus
V1052,V10.52,Personal history of malignant neoplasm of kidney
78869,788.69,Other abnormality of urination
E8798,E879.8,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
79029,790.29,Other abnormal glucose
99674,996.74,"Other complications due to other vascular device, implant, and graft"
53089,530.89,Other specified disorders of esophagus
4548,454.8,Varicose veins of lower extremities with other complications
42612,426.12,Mobitz (type) II atrioventricular block
4786,478.6,Edema of larynx
41071,410.71,"Subendocardial infarction, initial episode of care"
4940,494,Bronchiectasis without acute exacerbation
78906,789.06,"Abdominal pain, epigastric"
V1253,V12.53,Personal history of sudden cardiac arrest
71941,719.41,"Pain in joint, shoulder region"
5303,530.3,Stricture and stenosis of esophagus
V1042,V10.42,Personal history of malignant neoplasm of other parts of uterus
E8497,E849.7,Accidents occurring in residential institution
5304,530.4,Perforation of esophagus
5641,564.1,Irritable bowel syndrome
71500,715,"Osteoarthrosis, generalized, site unspecified"
436,436,"Acute, but ill-defined, cerebrovascular disease"
47831,478.31,"Unilateral paralysis of vocal cords or larynx, partial"
44489,444.89,Embolism and thrombosis of other specified artery
V1381,V13.81,Personal history of anaphylaxis
6829,682.9,Cellulitis and abscess of unspecified sites
4555,455.5,External hemorrhoids with other complication
7286,728.6,Contracture of palmar fascia
78052,780.52,"Insomnia, unspecified"
71689,716.89,"Other specified arthropathy, multiple sites"
43889,438.89,Other late effects of cerebrovascular disease
5718,571.8,Other chronic nonalcoholic liver disease
9222,922.2,Contusion of abdominal wall
78630,786.3,"Hemoptysis, unspecified"
78322,783.22,Underweight
86110,861.1,Unspecified injury of heart with open wound into thorax
V8741,V87.41,Personal history of antineoplastic chemotherapy
4257,425.7,Nutritional and metabolic cardiomyopathy
V7269,V72.69,Other laboratory examination
J440,491.22,Obstructive chronic bronchitis with acute bronchitis
N138,593.4,Other ureteric obstruction
I5040,428.4,"Combined systolic and diastolic heart failure, unspecified"
Z86718,V12.51,Personal history of venous thrombosis and embolism
M25512,719.41,"Pain in joint, shoulder region"
Z96659,V43.65,Knee joint replacement
Z853,V10.3,Personal history of malignant neoplasm of breast
R197,787.91,Diarrhea
J810,518.4,"Acute edema of lung, unspecified"
Z01811,V72.82,Pre-operative respiratory examination
I4439,426.5,"Bundle branch block, unspecified"
J329,473.9,Unspecified sinusitis (chronic)
E8779,276.69,Other fluid overload
M109,274.9,"Gout, unspecified"
R269,781.2,Abnormality of gait
T82867A,996.71,Other complications due to heart valve prosthesis
Z85828,V10.83,Personal history of other malignant neoplasm of skin
Z90722,V45.77,"Acquired absence of organ, genital organs"
K50918,555.9,Regional enteritis of unspecified site
I700,440,Atherosclerosis of aorta
I492,427,Paroxysmal supraventricular tachycardia
I5021,428.21,Acute systolic heart failure
I82411,453.41,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity
Z7984,V58.69,Long-term (current) use of other medications
Z87442,V13.01,Personal history of urinary calculi
I25810,414.05,Coronary atherosclerosis of unspecified bypass graft
I75029,445.02,Atheroembolism of lower extremity
Z136,V81.1,Screening for hypertension
I6789,436,"Acute, but ill-defined, cerebrovascular disease"
T81719A,997.2,"Peripheral vascular complications, not elsewhere classified"
J45901,493.92,"Asthma, unspecified type, with (acute) exacerbation"
R1310,787.2,"Dysphagia, unspecified"
J811,514,Pulmonary congestion and hypostasis
Y838,E878.8,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
C187,153.3,Malignant neoplasm of sigmoid colon
K210,530.11,Reflux esophagitis
K279,533.9,"Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
R911,793.11,Solitary pulmonary nodule
T882XXA,995.4,"Shock due to anesthesia, not elsewhere classified"
K921,578.1,Blood in stool
R338,788.29,Other specified retention of urine
R402142,780.01,Coma
E7849,272.4,Other and unspecified hyperlipidemia
R091,511,Pleurisy without mention of effusion or current tuberculosis
I519,429.9,"Heart disease, unspecified"
I952,458.29,Other iatrogenic hypotension
V4511,V45.11,Renal dialysis status
99590,995.9,"Systemic inflammatory response syndrome, unspecified"
V8536,V85.36,"Body Mass Index 36.0-36.9, adult"
71593,715.93,"Osteoarthrosis, unspecified whether generalized or localized, forearm"
60001,600.01,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
78097,780.97,Altered mental status
72190,721.9,"Spondylosis of unspecified site, without mention of myelopathy"
V1302,V13.02,"Personal history, urinary (tract) infection"
V7284,V72.84,"Pre-operative examination, unspecified"
7873,787.3,"Flatulence, eructation, and gas pain"
71945,719.45,"Pain in joint, pelvic region and thigh"
7881,788.1,Dysuria
V1209,V12.09,Personal history of other infectious and parasitic diseases
V8532,V85.32,"Body Mass Index 32.0-32.9, adult"
V4586,V45.86,Bariatric surgery status
V5863,V58.63,Long-term (current) use of antiplatelet/antithrombotic
9243,924.3,Contusion of toe
6953,695.3,Rosacea
V1261,V12.61,Personal history of pneumonia (recurrent)
V1279,V12.79,Personal history of other diseases of digestive system
V143,V14.3,Personal history of allergy to other anti-infective agent
5110,511,Pleurisy without mention of effusion or current tuberculosis
V1301,V13.01,Personal history of urinary calculi
8670,867,"Injury to bladder and urethra, without mention of open wound into cavity"
78559,785.59,Other shock without mention of trauma
V4509,V45.09,Other specified cardiac device in situ
4779,477.9,"Allergic rhinitis, cause unspecified"
71530,715.3,"Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified"
99739,997.39,Other respiratory complications
78600,786,"Respiratory abnormality, unspecified"
V4613,V46.13,Encounter for weaning from respirator [ventilator]
87340,873.4,"Open wound of face, unspecified site, without mention of complication"
81220,812.2,Closed fracture of unspecified part of humerus
V5831,V58.31,Encounter for change or removal of surgical wound dressing
53390,533.9,"Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
V180,V18.0,Family history of diabetes mellitus
78720,787.2,"Dysphagia, unspecified"
I728,442.82,Aneurysm of subclavian artery
Z9012,V45.71,Acquired absence of breast and nipple
N185,585.5,"Chronic kidney disease, Stage V"
Z9221,V87.41,Personal history of antineoplastic chemotherapy
K819,575.1,"Cholecystitis, unspecified"
Z8701,V12.61,Personal history of pneumonia (recurrent)
I378,424.3,Pulmonary valve disorders
Z9049,V45.72,Acquired absence of intestine (large) (small)
Z923,V15.3,"Personal history of irradiation, presenting hazards to health"
Z6831,V85.31,"Body Mass Index 31.0-31.9, adult"
R5383,780.79,Other malaise and fatigue
T8110XA,998,"Postoperative shock, unspecified"
J951,518.52,"Other pulmonary insufficiency, not elsewhere classified, following trauma and surgery"
Z992,V45.11,Renal dialysis status
R52,338.19,Other acute pain
R2681,781.2,Abnormality of gait
Z48812,V58.73,"Aftercare following surgery of the circulatory system, NEC"
G4752,327.42,REM sleep behavior disorder
I97191,429.4,Functional disturbances following cardiac surgery
Z888,V14.8,Personal history of allergy to other specified medicinal agents
S82121A,823,Closed fracture of upper end of tibia alone
I2699,415.19,Other pulmonary embolism and infarction
Z90710,V88.01,Acquired absence of both cervix and uterus
J439,492,Emphysematous bleb
S7011XA,924,Contusion of thigh
K6389,569.89,Other specified disorders of intestine
R930,793,Nonspecific (abnormal) findings on radiological and other examination of skull and head
I6302,433.01,Occlusion and stenosis of basilar artery with cerebral infarction
K648,455,Internal hemorrhoids without mention of complication
I8393,454.9,Asymptomatic varicose veins
T886XXA,995,Other anaphylactic reaction
Z96643,V43.64,Hip joint replacement
R0600,786.09,Other respiratory abnormalities
R29701,not found,not found
F05,293,Delirium due to conditions classified elsewhere
I7300,443,Raynaud's syndrome
I714,441.4,Abdominal aneurysm without mention of rupture
T462X5A,995.29,"Unspecified adverse effect of other drug, medicinal and biological substance"
I97790,997.1,"Cardiac complications, not elsewhere classified"
K766,572.3,Portal hypertension
R402362,not found,not found
J9621,518.53,Acute and chronic respiratory failure following trauma and surgery
R0681,786.03,Apnea
T428X5A,995.29,"Unspecified adverse effect of other drug, medicinal and biological substance"
Z85118,V10.11,Personal history of malignant neoplasm of bronchus and lung
V8524,V85.24,"Body Mass Index 28.0-28.9, adult"
V8539,V85.39,"Body Mass Index 39.0-39.9, adult"
3689,368.9,Unspecified visual disturbance
30928,309.28,Adjustment disorder with mixed anxiety and depressed mood
6961,696.1,Other psoriasis
79099,790.99,Other nonspecific findings on examination of blood
75481,754.81,Pectus excavatum
9720,972,Poisoning by cardiac rhythm regulators
7212,721.2,Thoracic spondylosis without myelopathy
V7263,V72.63,Pre-procedural laboratory examination
V4571,V45.71,Acquired absence of breast and nipple
7019,701.9,Unspecified hypertrophic and atrophic conditions of skin
591,591,Hydronephrosis
4294,429.4,Functional disturbances following cardiac surgery
78051,780.51,"Insomnia with sleep apnea, unspecified"
V147,V14.7,Personal history of allergy to serum or vaccine
V709,V70.9,Encounter for other general examination
7210,721,Cervical spondylosis without myelopathy
V1051,V10.51,Personal history of malignant neoplasm of bladder
72989,729.89,Other musculoskeletal symptoms referable to limbs
V8538,V85.38,"Body Mass Index 38.0-38.9, adult"
78061,780.61,Fever presenting with conditions classified elsewhere
V1588,V15.88,History of fall
5854,585.4,"Chronic kidney disease, Stage IV (severe)"
E9384,E938.4,Other and unspecified general anesthetics causing adverse effects in therapeutic use
7871,787.1,Heartburn
7856,785.6,Enlargement of lymph nodes
V850,V85.0,"Body Mass Index less than 19, adult"
6259,625.9,Unspecified symptom associated with female genital organs
78093,780.93,Memory loss
J9561,998.11,Hemorrhage complicating a procedure
R300,788.1,Dysuria
Z6833,V85.33,"Body Mass Index 33.0-33.9, adult"
J9690,518.81,Acute respiratory failure
M159,715,"Osteoarthrosis, generalized, site unspecified"
M8580,733.9,"Disorder of bone and cartilage, unspecified"
T82118A,996.09,"Other mechanical complication of cardiac device, implant, and graft"
I70219,440.21,Atherosclerosis of native arteries of the extremities with intermittent claudication
Z792,V58.62,Long-term (current) use of antibiotics
I459,426.9,"Conduction disorder, unspecified"
R0683,786.09,Other respiratory abnormalities
N289,593.9,Unspecified disorder of kidney and ureter
Z803,V16.3,Family history of malignant neoplasm of breast
I6340,434.11,Cerebral embolism with cerebral infarction
R5082,780.62,Postprocedural fever
R5381,780.79,Other malaise and fatigue
Z9851,V26.51,Tubal ligation status
J9611,518.83,Chronic respiratory failure
Z45018,V53.31,Fitting and adjustment of cardiac pacemaker
K317,211.1,Benign neoplasm of stomach
M1712,715.16,"Osteoarthrosis, localized, primary, lower leg"
K920,578,Hematemesis
I5020,428.2,"Systolic heart failure, unspecified"
T148XXA,959.9,Unspecified site injury
A5206,93.81,Syphilitic pericarditis
Z9229,V87.49,Personal history of other drug therapy
R748,790.5,Other nonspecific abnormal serum enzyme levels
Z981,V45.4,Arthrodesis status
D1809,228.09,Hemangioma of other sites
Z9989,V46.8,Dependence on other enabling machines
Z940,V42.0,Kidney replaced by transplant
K5190,556.9,"Ulcerative colitis, unspecified"
Z91040,V15.07,Allergy to latex
J690,507,Pneumonitis due to inhalation of food or vomitus
J40,490,"Bronchitis, not specified as acute or chronic"
M7910,729.1,"Myalgia and myositis, unspecified"
M25511,719.41,"Pain in joint, shoulder region"
Z9481,V42.81,Bone marrow replaced by transplant
R350,788.41,Urinary frequency
V7285,V72.85,Other specified examination
29580,295.8,"Other specified types of schizophrenia, unspecified"
37853,378.53,Fourth or trochlear nerve palsy
481,481,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]
431,431,Intracerebral hemorrhage
45342,453.42,Acute venous embolism and thrombosis of deep vessels of distal lower extremity
7934,793.4,Nonspecific (abnormal) findings on radiological and other examination of gastrointestinal tract
71906,719.06,"Effusion of joint, lower leg"
3688,368.8,Other specified visual disturbances
490,490,"Bronchitis, not specified as acute or chronic"
E8889,272.8,Other disorders of lipoid metabolism
E8788,E878.8,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
74729,747.29,Other anomalies of aorta
78459,784.59,Other speech disturbance
79311,793.11,Solitary pulmonary nodule
78721,787.21,"Dysphagia, oral phase"
78551,785.51,Cardiogenic shock
7842,784.2,"Swelling, mass, or lump in head and neck"
M6281,728.87,Muscle weakness (generalized)
I200,411.1,Intermediate coronary syndrome
E1021,250.41,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled"
T82128A,996.09,"Other mechanical complication of cardiac device, implant, and graft"
R7989,790.6,Other abnormal blood chemistry
I088,396.8,Multiple involvement of mitral and aortic valves
K8010,574.1,"Calculus of gallbladder with other cholecystitis, without mention of obstruction"
T82191A,996.01,Mechanical complication due to cardiac pacemaker (electrode)
